外,屋外,おくがい,outdoors,n
外,海外,かいがい,"foreign, abroad, overseas",n
多,多い,おおい,"many, numerous",adj
多,多湿,たしつ,high humidity ,"adj-na, n"
多,多少,たしょう,"more or less, somewhat, a little, some","adj-no, adv, n"
多,多数,たすう,"great number, countless, majority","n-adv, n, adj-no"
多,多大,ただい,"heavy, much","adj-na, n"
大,偉大,いだい,greatness,"adj-na, n"
大,拡大,かくだい,"magnification, enlargement, expansion","n, vs"
大,寛大,かんだい,"tolerance, liberality, leniency","adj-na, n"
大,巨大,きょだい,"huge, gigantic, enormous","adj-na, n"
大,弘大,こうだい,"huge, very large, vast, extensive, magnificent, grand",adj-na
天,雨天,うてん,rainy weather ,n
天,楽天的 ,らくてんてき,optimistic,"adj-na, n"
天,晴天 ,せいてん,fine weathe,n
天,先天的,せんてんてき,"a priori, inborn, innate, inheren","adj-na, n"
天,天,あま ,"sky, heaven",n
女,悪女 ,あくじょ,"wicked, ugly woman",n
女,王女,おうじょ,princess,n
女,処女,しょじょ,"virgin, maiden",n
女,女,おんな,woman,n
女,女の児,おんなのコ,girl,n
子,倚子,いす,"chair, post, office, position",n
子,羽子,はね,"feather, plume, wing, blade","n, n"
子,王子,おうじ ,prince,n
子,格子,こうし,"lattice, grid pattern",n
子,原子,げんし,atom,n
学,医学,いがく,"medical science, medicine ",n
学,化学,ばけがく,"chemistry, chemical (company)",n
学,科学,かがく,science,n
学,科学者,かがくしゃ,scientist,n
学,学位,がくい,(university) degree,n
安,安易,あんい ,"easy, simple, easy-going","adj-na, n"
安,安神,あんしん,"relief, peace of mind ","adj-na, n, vs"
安,安静,あんせい,rest,"adj-na, n"
安,安全,あんぜん,"safety, security","adj-na, n"
安,安定,あんてい,"stability, equilibrium","adj-na, n, vs"
小,最小 ,さいしょう,"smallest, least",
小,最小限,さいしょうげん,"minimum, lowest ",
小,縮小,しゅくしょう,"reduction, curtailment","n, vs"
小,小さい,ちいさい,"small, little, tiny",adj
小,小雨,こあめ ,"light rain, drizzle",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
